Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 08/08/2024
TIME       : 19:24:51
FILENAME   : C:\Users\Zoe Sandwith\AppData\Roaming\DiverOffice\GEMS\Sample 20240808\CSV\VEI_X6477_240808192451_X6477.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=24
  Status                  =Started =0
  Serial number           =..00-X6477  324.
  Instrument number       =          UTC+0     
                          =0
  Location                =VEI_X6477
  Sample period           =S05
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =4.0000    m
  Range                   =57.5000   m
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..00-X6477  324.
  Instrument number       =          UTC+0     
  Location                =VEI_X6477
  Sample period           =00 00:00:05 0
  Sample method           =T   
  Start date / time       =00:45:16 08/08/24
  End date / time         =20:23:19 08/08/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =4.0000    m
  Range                   =57.5000   m
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[mH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2024/08/08 16:45:00,10.4534,21.843,0.024
2024/08/08 16:45:05,10.4400,21.873,0.024
2024/08/08 16:45:10,10.4400,21.873,0.028
2024/08/08 16:45:15,10.4400,21.897,0.024
2024/08/08 16:45:20,10.4438,21.907,0.024
2024/08/08 16:45:25,10.4400,21.930,0.028
2024/08/08 16:45:30,10.4438,21.937,0.028
2024/08/08 16:45:35,10.4400,21.943,0.024
2024/08/08 16:45:40,10.4438,21.970,0.024
2024/08/08 16:45:45,10.4438,21.977,0.024
2024/08/08 16:45:50,10.4438,21.993,0.024
2024/08/08 16:45:55,10.4438,22.000,0.024
2024/08/08 16:46:00,10.4438,22.007,0.028
2024/08/08 16:46:05,10.4438,22.040,0.024
2024/08/08 16:46:10,10.4438,22.053,0.028
2024/08/08 16:46:15,10.4438,22.053,0.024
2024/08/08 16:46:20,10.4438,22.070,0.024
2024/08/08 16:46:25,10.4438,22.087,0.028
2024/08/08 16:46:30,10.4438,22.100,0.028
2024/08/08 16:46:35,10.4496,22.110,0.024
2024/08/08 16:46:40,10.4438,22.123,0.024
2024/08/08 16:46:45,10.4534,22.147,0.024
2024/08/08 16:46:50,10.4534,22.157,0.024
2024/08/08 16:46:55,10.4477,22.157,0.028
2024/08/08 16:47:00,10.4438,22.180,0.028
2024/08/08 16:47:05,10.4534,22.187,0.028
2024/08/08 16:47:10,10.4400,22.203,0.028
2024/08/08 16:47:15,10.4438,22.220,0.028
2024/08/08 16:47:20,10.4400,22.227,0.024
2024/08/08 16:47:25,10.4438,22.243,0.024
2024/08/08 16:47:30,10.4438,22.267,0.028
2024/08/08 16:47:35,10.4400,22.273,0.024
