Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 07/08/2024
TIME       : 17:32:06
FILENAME   : C:\Users\Zoe Sandwith\AppData\Roaming\DiverOffice\GEMS\August Tests\CSV\VEI_X6477_240807173206_X6477.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=24
  Status                  =Started =0
  Serial number           =..00-X6477  324.
  Instrument number       =          UTC+0     
                          =0
  Location                =VEI_X6477
  Sample period           =S02
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =4.0000    m
  Range                   =57.5000   m
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..00-X6477  324.
  Instrument number       =          UTC+0     
  Location                =VEI_X6477
  Sample period           =00 00:00:02 0
  Sample method           =T   
  Start date / time       =40:19:17 07/08/24
  End date / time         =56:26:17 07/08/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =4.0000    m
  Range                   =57.5000   m
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[mH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2024/08/07 17:19:40,10.5033,22.047,0.028
2024/08/07 17:19:42,10.5128,22.053,0.032
2024/08/07 17:19:44,10.5033,22.047,0.032
2024/08/07 17:19:46,10.5033,22.070,0.028
2024/08/07 17:19:48,10.5033,22.070,0.032
2024/08/07 17:19:50,10.4975,22.063,0.032
2024/08/07 17:19:52,10.4937,22.077,0.020
2024/08/07 17:19:54,10.4937,22.070,0.024
2024/08/07 17:19:56,10.4975,22.077,0.020
2024/08/07 17:19:58,10.4975,22.070,0.020
2024/08/07 17:20:00,10.5033,22.070,0.028
2024/08/07 17:20:02,10.5033,22.093,0.020
2024/08/07 17:20:04,10.4937,22.093,0.016
2024/08/07 17:20:06,10.4898,22.087,0.028
2024/08/07 17:20:08,10.4937,22.117,0.024
2024/08/07 17:20:10,10.4975,22.123,0.024
2024/08/07 17:20:12,10.4975,22.147,0.028
2024/08/07 17:20:14,10.5013,22.157,0.028
2024/08/07 17:20:16,10.5013,22.180,0.028
2024/08/07 17:20:18,10.5071,22.203,0.032
2024/08/07 17:20:20,10.5071,22.220,0.028
2024/08/07 17:20:22,10.5071,22.243,0.032
2024/08/07 17:20:24,10.4975,22.267,0.032
2024/08/07 17:20:26,10.4975,22.280,0.032
2024/08/07 17:20:28,10.4975,22.313,0.032
2024/08/07 17:20:30,10.4937,22.313,0.032
2024/08/07 17:20:32,10.4937,22.350,0.032
2024/08/07 17:20:34,10.5033,22.373,0.032
2024/08/07 17:20:36,10.4937,22.383,0.032
2024/08/07 17:20:38,10.4937,22.413,0.032
2024/08/07 17:20:40,10.4937,22.437,0.032
2024/08/07 17:20:42,10.4975,22.453,0.032
2024/08/07 17:20:44,10.4898,22.460,0.028
2024/08/07 17:20:46,10.4975,22.500,0.028
2024/08/07 17:20:48,10.5033,22.523,0.032
2024/08/07 17:20:50,10.5071,22.507,0.032
2024/08/07 17:20:52,10.5033,22.530,0.032
2024/08/07 17:20:54,10.5128,22.563,0.032
2024/08/07 17:20:56,10.5033,22.570,0.032
2024/08/07 17:20:58,10.4975,22.593,0.032
2024/08/07 17:21:00,10.4975,22.600,0.032
2024/08/07 17:21:02,10.4975,22.610,0.032
2024/08/07 17:21:04,10.5033,22.633,0.032
2024/08/07 17:21:06,10.5033,22.640,0.032
2024/08/07 17:21:08,10.4975,22.647,0.032
2024/08/07 17:21:10,10.5033,22.663,0.032
2024/08/07 17:21:12,10.5033,22.687,0.032
2024/08/07 17:21:14,10.5033,22.687,0.032
2024/08/07 17:21:16,10.5033,22.687,0.032
2024/08/07 17:21:18,10.5071,22.720,0.032
2024/08/07 17:21:20,10.5071,22.720,0.032
2024/08/07 17:21:22,10.5071,22.733,0.032
2024/08/07 17:21:24,10.5071,22.733,0.032
2024/08/07 17:21:26,10.5033,22.750,0.032
2024/08/07 17:21:28,10.5033,22.750,0.032
2024/08/07 17:21:30,10.4975,22.767,0.032
2024/08/07 17:21:32,10.5033,22.767,0.032
2024/08/07 17:21:34,10.5033,22.780,0.032
2024/08/07 17:21:36,10.5128,22.780,0.032
2024/08/07 17:21:38,10.5071,22.790,0.032
2024/08/07 17:21:40,10.5071,22.790,0.032
2024/08/07 17:21:42,10.5033,22.803,0.032
2024/08/07 17:21:44,10.5033,22.803,0.032
2024/08/07 17:21:46,10.4975,22.813,0.032
2024/08/07 17:21:48,10.4937,22.813,0.032
2024/08/07 17:21:50,10.5033,22.820,0.032
2024/08/07 17:21:52,10.4975,22.820,0.032
2024/08/07 17:21:54,10.5033,22.837,0.032
2024/08/07 17:21:56,10.4975,22.820,0.032
2024/08/07 17:21:58,10.5033,22.837,0.032
2024/08/07 17:22:00,10.4975,22.837,0.032
2024/08/07 17:22:02,10.5033,22.850,0.032
2024/08/07 17:22:04,10.4975,22.843,0.032
2024/08/07 17:22:06,10.5013,22.860,0.032
2024/08/07 17:22:08,10.4975,22.843,0.032
2024/08/07 17:22:10,10.5013,22.860,0.032
2024/08/07 17:22:12,10.4975,22.850,0.032
2024/08/07 17:22:14,10.5071,22.860,0.032
2024/08/07 17:22:16,10.5071,22.860,0.032
2024/08/07 17:22:18,10.5071,22.867,0.036
2024/08/07 17:22:20,10.5109,22.867,0.032
2024/08/07 17:22:22,10.5071,22.867,0.320
2024/08/07 17:22:24,10.5071,22.867,0.216
2024/08/07 17:22:26,10.4975,22.820,0.012
2024/08/07 17:22:28,10.4975,22.773,0.000
2024/08/07 17:22:30,10.5033,22.720,1.708
2024/08/07 17:22:32,10.5071,22.657,0.008
2024/08/07 17:22:34,10.5033,22.593,0.240
2024/08/07 17:22:36,10.5071,22.547,0.212
2024/08/07 17:22:38,10.4937,22.493,0.000
2024/08/07 17:22:40,10.5033,22.437,0.000
2024/08/07 17:22:42,10.4975,22.407,0.000
2024/08/07 17:22:44,10.4975,22.360,12.072
2024/08/07 17:22:46,10.5569,22.313,12.444
2024/08/07 17:22:48,10.5531,22.273,12.872
2024/08/07 17:22:50,10.6029,22.243,12.832
2024/08/07 17:22:52,10.6298,22.210,12.832
2024/08/07 17:22:54,10.6336,22.180,12.832
2024/08/07 17:22:56,10.6336,22.157,12.832
2024/08/07 17:22:58,10.6298,22.123,12.828
2024/08/07 17:23:00,10.6298,22.093,12.832
2024/08/07 17:23:02,10.6240,22.087,12.828
2024/08/07 17:23:04,10.6298,22.053,12.828
2024/08/07 17:23:06,10.6202,22.040,12.828
2024/08/07 17:23:08,10.6240,22.023,12.824
2024/08/07 17:23:10,10.6298,22.007,12.820
2024/08/07 17:23:12,10.6298,22.000,12.820
2024/08/07 17:23:14,10.6240,21.970,12.816
2024/08/07 17:23:16,10.6298,21.970,12.816
2024/08/07 17:23:18,10.6298,21.953,12.812
2024/08/07 17:23:20,10.6240,21.953,12.812
2024/08/07 17:23:22,10.6298,21.930,12.812
2024/08/07 17:23:24,10.6240,21.907,12.808
2024/08/07 17:23:26,10.6298,21.907,12.808
2024/08/07 17:23:28,10.6336,21.890,12.808
2024/08/07 17:23:30,10.6298,21.890,12.808
2024/08/07 17:23:32,10.6374,21.873,12.808
2024/08/07 17:23:34,10.6336,21.873,12.808
2024/08/07 17:23:36,10.6278,21.860,12.808
2024/08/07 17:23:38,10.6278,21.860,12.804
2024/08/07 17:23:40,10.6278,21.837,12.940
2024/08/07 17:23:42,10.6202,21.837,12.940
2024/08/07 17:23:44,10.6278,21.827,12.936
2024/08/07 17:23:46,10.6240,21.827,12.940
2024/08/07 17:23:48,10.6278,21.820,12.940
2024/08/07 17:23:50,10.6278,21.813,12.940
2024/08/07 17:23:52,10.6240,21.797,12.940
2024/08/07 17:23:54,10.6278,21.813,12.940
2024/08/07 17:23:56,10.6240,21.790,12.940
2024/08/07 17:23:58,10.6240,21.780,12.940
2024/08/07 17:24:00,10.6240,21.790,12.944
2024/08/07 17:24:02,10.6298,21.780,12.944
2024/08/07 17:24:04,10.6298,21.773,12.944
2024/08/07 17:24:06,10.6240,21.780,12.944
2024/08/07 17:24:08,10.6240,21.780,12.944
2024/08/07 17:24:10,10.6298,21.767,12.944
2024/08/07 17:24:12,10.6202,21.743,12.948
2024/08/07 17:24:14,10.6240,21.750,12.944
2024/08/07 17:24:16,10.6240,21.750,12.948
2024/08/07 17:24:18,10.6298,21.750,12.952
2024/08/07 17:24:20,10.6298,21.750,12.948
2024/08/07 17:24:22,10.5569,21.743,12.944
2024/08/07 17:24:24,10.6298,21.733,12.924
2024/08/07 17:24:26,10.6374,21.733,12.920
2024/08/07 17:24:28,10.6336,21.743,12.912
2024/08/07 17:24:30,10.6298,21.733,12.928
2024/08/07 17:24:32,10.6374,21.720,12.688
2024/08/07 17:24:34,10.5128,21.720,12.600
2024/08/07 17:24:36,10.4937,21.720,12.340
2024/08/07 17:24:38,10.4937,21.720,0.016
2024/08/07 17:24:40,10.4937,21.720,0.080
2024/08/07 17:24:42,10.4898,21.710,0.000
2024/08/07 17:24:44,10.4898,21.703,0.000
2024/08/07 17:24:46,10.4975,21.703,0.000
2024/08/07 17:24:48,10.5033,21.693,0.000
2024/08/07 17:24:50,10.4975,21.710,0.000
2024/08/07 17:24:52,10.4898,21.693,0.000
2024/08/07 17:24:54,10.4898,21.693,0.000
2024/08/07 17:24:56,10.4898,21.703,0.000
2024/08/07 17:24:58,10.4898,21.703,0.000
2024/08/07 17:25:00,10.4898,21.693,0.000
2024/08/07 17:25:02,10.4898,21.687,0.000
2024/08/07 17:25:04,10.4937,21.687,0.000
2024/08/07 17:25:06,10.4937,21.687,0.000
2024/08/07 17:25:08,10.4937,21.687,0.000
2024/08/07 17:25:10,10.4898,21.670,0.000
2024/08/07 17:25:12,10.4707,21.663,0.004
2024/08/07 17:25:14,10.4898,21.663,0.008
2024/08/07 17:25:16,10.4898,21.623,0.000
2024/08/07 17:25:18,10.4764,21.617,0.000
2024/08/07 17:25:20,10.4937,21.577,0.000
2024/08/07 17:25:22,10.4975,21.523,0.000
2024/08/07 17:25:24,10.4879,21.500,0.000
2024/08/07 17:25:26,10.4975,21.453,0.000
2024/08/07 17:25:28,10.4975,21.407,0.000
2024/08/07 17:25:30,10.4937,21.373,0.000
2024/08/07 17:25:32,10.4937,21.337,0.000
2024/08/07 17:25:34,10.4975,21.290,0.000
2024/08/07 17:25:36,10.4975,21.273,0.000
2024/08/07 17:25:38,10.4937,21.243,0.000
2024/08/07 17:25:40,10.4975,21.220,0.000
2024/08/07 17:25:42,10.4879,21.187,0.000
2024/08/07 17:25:44,10.4975,21.180,0.000
2024/08/07 17:25:46,10.4937,21.163,0.000
2024/08/07 17:25:48,10.4937,21.157,0.000
2024/08/07 17:25:50,10.4879,21.140,0.000
2024/08/07 17:25:52,10.4937,21.133,0.000
2024/08/07 17:25:54,10.4937,21.133,0.000
2024/08/07 17:25:56,10.4879,21.117,0.000
2024/08/07 17:25:58,10.4937,21.093,0.000
2024/08/07 17:26:00,10.4879,21.110,0.000
2024/08/07 17:26:02,10.4937,21.100,0.000
2024/08/07 17:26:04,10.4937,21.100,0.000
2024/08/07 17:26:06,10.4975,21.100,0.000
2024/08/07 17:26:08,10.4937,21.093,0.000
2024/08/07 17:26:10,10.4937,21.093,0.000
2024/08/07 17:26:12,10.4841,21.077,0.000
2024/08/07 17:26:14,10.4879,21.077,0.000
2024/08/07 17:26:16,10.4975,21.077,0.000
2024/08/07 17:26:18,10.4879,21.087,0.000
2024/08/07 17:26:20,10.4937,21.087,0.000
2024/08/07 17:26:22,10.4937,21.077,0.000
2024/08/07 17:26:24,10.4898,21.070,0.000
2024/08/07 17:26:26,10.4841,21.063,0.000
