Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 07/08/2024
TIME       : 22:02:04
FILENAME   : C:\Users\Zoe Sandwith\AppData\Roaming\DiverOffice\GEMS\August Tests\precal\CSV\VEI_X6477_240807220204_X6477.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=24
  Status                  =Started =0
  Serial number           =..00-X6477  324.
  Instrument number       =          UTC+0     
                          =0
  Location                =VEI_X6477
  Sample period           =S02
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =4.0000    m
  Range                   =57.5000   m
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


[Series settings]
  Serial number           =..00-X6477  324.
  Instrument number       =          UTC+0     
  Location                =VEI_X6477
  Sample period           =00 00:00:02 0
  Sample method           =T   
  Start date / time       =05:40:20 07/08/24
  End date / time         =27:48:20 07/08/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =4.0000    m
  Range                   =57.5000   m
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =2: SPEC.COND.
  Reference level         =0.000     ms/cm
  Range                   =120.000   ms/cm


Date/time,Pressure[mH2O],Temperature[°C],2:Spec.cond.[ms/cm]
2024/08/07 20:40:05,10.4898,22.313,0.000
2024/08/07 20:40:07,10.4841,22.320,0.000
2024/08/07 20:40:09,10.4841,22.327,0.000
2024/08/07 20:40:11,10.4803,22.320,0.000
2024/08/07 20:40:13,10.4841,22.320,0.000
2024/08/07 20:40:15,10.4803,22.320,0.000
2024/08/07 20:40:17,10.4803,22.320,0.000
2024/08/07 20:40:19,10.4803,22.320,0.000
2024/08/07 20:40:21,10.4803,22.320,0.000
2024/08/07 20:40:23,10.4803,22.320,0.000
2024/08/07 20:40:25,10.4841,22.327,0.000
2024/08/07 20:40:27,10.4764,22.327,0.000
2024/08/07 20:40:29,10.4803,22.320,0.000
2024/08/07 20:40:31,10.4898,22.313,0.000
2024/08/07 20:40:33,10.4803,22.320,0.000
2024/08/07 20:40:35,10.4803,22.313,0.000
2024/08/07 20:40:37,10.4764,22.313,0.000
2024/08/07 20:40:39,10.4707,22.320,0.000
2024/08/07 20:40:41,10.4803,22.327,0.000
2024/08/07 20:40:43,10.4764,22.343,0.000
2024/08/07 20:40:45,10.4803,22.337,0.000
2024/08/07 20:40:47,10.4803,22.343,0.000
2024/08/07 20:40:49,10.4803,22.360,0.000
2024/08/07 20:40:51,10.4841,22.360,0.000
2024/08/07 20:40:53,10.4841,22.373,0.000
2024/08/07 20:40:55,10.4764,22.390,0.000
2024/08/07 20:40:57,10.4803,22.397,0.000
2024/08/07 20:40:59,10.4803,22.407,0.000
2024/08/07 20:41:01,10.4803,22.407,0.000
2024/08/07 20:41:03,10.4764,22.413,0.000
2024/08/07 20:41:05,10.4764,22.430,0.000
2024/08/07 20:41:07,10.4707,22.437,0.000
2024/08/07 20:41:09,10.4764,22.470,0.000
2024/08/07 20:41:11,10.4707,22.460,0.000
2024/08/07 20:41:13,10.4764,22.477,0.000
2024/08/07 20:41:15,10.4764,22.477,0.000
2024/08/07 20:41:17,10.4841,22.507,0.000
2024/08/07 20:41:19,10.4803,22.530,0.000
2024/08/07 20:41:21,10.4764,22.540,0.000
2024/08/07 20:41:23,10.4764,22.577,0.000
2024/08/07 20:41:25,10.4764,22.570,0.000
2024/08/07 20:41:27,10.4803,22.600,0.000
2024/08/07 20:41:29,10.4841,22.610,0.000
2024/08/07 20:41:31,10.4803,22.617,0.000
2024/08/07 20:41:33,10.4841,22.633,0.000
2024/08/07 20:41:35,10.4841,22.657,0.000
2024/08/07 20:41:37,10.4841,22.680,0.000
2024/08/07 20:41:39,10.4841,22.687,0.000
2024/08/07 20:41:41,10.4898,22.693,0.000
2024/08/07 20:41:43,10.4841,22.710,0.000
2024/08/07 20:41:45,10.4841,22.720,0.000
2024/08/07 20:41:47,10.4841,22.727,0.000
2024/08/07 20:41:49,10.4841,22.733,0.000
2024/08/07 20:41:51,10.4803,22.750,0.000
2024/08/07 20:41:53,10.4841,22.757,0.000
2024/08/07 20:41:55,10.4841,22.757,0.000
2024/08/07 20:41:57,10.4841,22.750,0.000
2024/08/07 20:41:59,10.4803,22.780,0.000
2024/08/07 20:42:01,10.4803,22.790,0.000
