sampling_event_number,survey_date,analysis_date,name_of_analyser,time_zone,aquafluor_sample_id,value,channel,gem_sample_id,comment,quality_flag
,,,,,0,,trb,blank,,
,,,,,1,,ivch,blank,,
,,,,,2,,trb,blank,,
,,,,,3,,ivch,blank,,
,,,,,4,,ivch,solid_standard,,
,,,,,5,,,,,
,,,,,6,,,,,
,,,,,7,,,,,
,,,,,8,,,,,
,,,,,9,,,,,
,,,,,10,,,,,
,,,,,11,,,,,
,,,,,12,,,,,
,,,,,13,,,,,
,,,,,14,,,,,
,,,,,15,,,,,
,,,,,16,,,,,
,,,,,17,,,,,
,,,,,18,,,,,
,,,,,19,,,,,
,,,,,20,,,,,
,,,,,21,,,,,
,,,,,22,,,,,
,,,,,23,,,,,
,,,,,24,,,,,
,,,,,25,,,,,
,,,,,26,,,,,
,,,,,27,,,,,
,,,,,28,,,,,
,,,,,29,,,,,
,,,,,30,,,,,
